zip,latitude,longitude
83722,43.459900,-116.244000
83724,43.619500,-116.195200
83725,43.459900,-116.244000
83726,43.459900,-116.244000
83728,43.613500,-116.203500
83729,43.459900,-116.244000
83731,43.459900,-116.244000
83732,43.459900,-116.244000
83735,43.613500,-116.203500
83756,43.459900,-116.244000
83799,43.613500,-116.203500
83612,44.762800,-116.451800
83632,44.549100,-116.443000
83643,44.625500,-116.449300
83654,44.994000,-116.287400
83201,42.887600,-112.438100
83202,42.935700,-112.467900
83204,42.846500,-112.443400
83205,42.806200,-112.410300
83206,42.871300,-112.445500
83209,42.639500,-112.313800
83214,42.560000,-112.174600
83234,42.418100,-112.109000
83245,42.796400,-112.246500
83246,42.618500,-112.017600
83250,42.633600,-112.175800
83281,42.319500,-111.978100
83220,42.319100,-111.392600
83223,42.184000,-111.408600
83233,42.177400,-111.217400
83238,42.313600,-111.072200
83239,42.482100,-111.370800
83254,42.352000,-111.319500
83261,42.224200,-111.420800
83272,42.112800,-111.389700
83287,42.045900,-111.463300
83824,47.126000,-116.893700
83830,47.116000,-116.383100
83851,47.327800,-116.866200
83861,47.297700,-116.568100
83866,47.154400,-116.431000
83870,47.170700,-116.902700
83203,43.033100,-112.428500
83210,43.004900,-112.840000
83215,43.444900,-112.812800
83218,43.315500,-112.164400
83221,43.194300,-112.361500
83236,43.302100,-112.158800
83256,43.222600,-112.442300
83262,43.133600,-112.629500
83274,43.376900,-112.107500
83277,43.080300,-112.673000
83313,43.439700,-114.249800
83320,43.274400,-113.892600
83333,43.523900,-114.306400
83340,43.669200,-114.485800
83348,43.310100,-114.086100
83353,43.685300,-114.331300
83354,43.594600,-114.322600
83602,44.080400,-116.124000
83622,44.090900,-115.824300
83629,43.922900,-116.180900
83631,43.883400,-115.708000
83637,44.110600,-115.528500
83646,43.649800,-116.430600
83666,43.963300,-115.975900
83804,48.022300,-116.990900
83809,48.048200,-116.593900
83811,48.140500,-116.169900
83813,48.124800,-116.657100
83821,48.522800,-116.840800
83822,48.155200,-116.978100
83825,48.251600,-116.611000
83836,48.244400,-116.279500
83840,48.310200,-116.513500
83841,48.170200,-116.756000
83848,48.633900,-116.947300
83852,48.305500,-116.533800
83856,48.166400,-116.906600
83860,48.203500,-116.545500
83864,48.312000,-116.533200
83865,48.363300,-116.625600
83401,43.551800,-111.891900
83402,43.493400,-112.057800
83403,43.466600,-112.034100
83404,43.475000,-112.012400
83405,43.466600,-112.034100
83406,43.473200,-111.966100
83415,43.466600,-112.034100
83427,43.526300,-111.933000
83428,43.386100,-111.252700
83449,43.456000,-111.341600
83454,43.593600,-111.957300
83805,48.730600,-116.332200
83826,48.999400,-116.181300
83845,48.746400,-116.179600
83847,48.604900,-116.319600
83853,48.992000,-116.477500
83213,43.635500,-113.317600
83244,43.908700,-113.087800
83255,43.729600,-113.454400
83322,43.528200,-114.730700
83327,43.367500,-114.790800
83337,43.300500,-115.051200
83605,43.662700,-116.700000
83606,43.724900,-116.798900
83607,43.618600,-116.750100
83626,43.669000,-116.831500
83630,43.602700,-116.790300
83641,43.378400,-116.548900
83644,43.719100,-116.611200
83651,43.583400,-116.584800
83652,43.707100,-116.620800
83653,43.585100,-116.753000
83656,43.725900,-116.799700
83660,43.789600,-116.940100
83676,43.657900,-116.912200
83686,43.544100,-116.566000
83687,43.593700,-116.536000
83217,42.720500,-111.842900
83230,42.719100,-111.596700
83241,42.550000,-111.740000
83276,42.671800,-111.569900
83285,43.026900,-111.254100
83311,42.389600,-113.556700
83312,42.084600,-113.628300
83318,42.524400,-113.793100
83323,42.524500,-113.433800
83342,42.274100,-113.392700
83346,42.194000,-113.872000
83423,44.185800,-112.325900
83446,44.360500,-112.186900
83520,46.539400,-116.323300
83541,46.535400,-116.513000
83544,46.495200,-116.240400
83546,46.492400,-115.807100
83553,46.380700,-115.938600
83827,46.783500,-116.179900
83226,44.496900,-114.194600
83227,44.273300,-114.410200
83235,44.691900,-114.048400
83251,43.911100,-113.612000
83278,44.371400,-114.856100
83601,43.847900,-115.253800
83623,42.962200,-115.316000
83627,42.945700,-115.466200
83633,42.979900,-115.189900
83647,43.139200,-115.696300
83648,43.791400,-116.401200
83228,42.216000,-111.995700
83232,42.118400,-111.985800
83237,42.028800,-111.787100
83263,42.110900,-111.856500
83283,42.379400,-111.684100
83286,42.044600,-111.971500
83420,44.015300,-111.425300
83421,44.001100,-111.535100
83429,44.446600,-111.367900
83433,44.319200,-111.601700
83436,43.888100,-111.604200
83438,43.959400,-111.757700
83445,43.963000,-111.703600
83451,43.890700,-111.650400
83617,43.908900,-116.492700
83636,43.896300,-116.646200
83657,44.241800,-116.273200
83670,43.994800,-116.323200
83314,42.944900,-114.910400
83330,42.937300,-114.712000
83332,42.814200,-114.887000
83355,42.757900,-114.715400
83522,46.044800,-116.373300
83525,45.789600,-115.502400
83526,46.134900,-116.398200
83530,45.927200,-116.107600
83531,45.963200,-116.256300
83533,46.115500,-116.272400
83539,46.116000,-115.945900
83542,45.557000,-116.266900
83547,45.306800,-116.351700
83549,45.397000,-116.300600
83552,46.002000,-115.926900
83554,45.752100,-116.288900
83671,45.264100,-115.676500
83425,43.930800,-112.187200
83431,43.672500,-112.018900
83434,43.726600,-111.983700
83435,43.986200,-112.578300
83442,43.671500,-111.900500
83443,43.519700,-111.526600
83444,43.711600,-112.119600
83450,43.858600,-112.420000
83325,42.586800,-114.246700
83335,42.595500,-114.135000
83338,42.717800,-114.501200
83801,47.926700,-116.731800
83803,47.982200,-116.549400
83810,47.552200,-116.443100
83814,47.692800,-116.785000
83815,47.724800,-116.789000
83816,47.677700,-116.780500
83833,47.501700,-116.744600
83835,47.798900,-116.742300
83842,47.462500,-116.568300
83854,47.720500,-116.935300
83858,47.824100,-116.887300
83869,47.965700,-116.868000
83876,47.429200,-116.905600
83877,47.718000,-116.951600
83535,46.575400,-116.718800
83537,46.628600,-116.604900
83806,46.858800,-116.393500
83823,46.806100,-116.523800
83832,46.571400,-116.929000
83834,46.937600,-116.702500
83843,46.730900,-116.989700
83844,46.732400,-117.000200
83855,46.944800,-116.914100
83857,46.899600,-116.828700
83871,46.742600,-116.768100
83872,46.858300,-116.973200
83229,45.093000,-114.231700
83253,44.604400,-113.912000
83462,45.255000,-113.857300
83463,45.570400,-113.991300
83464,44.738900,-113.492600
83465,44.851600,-113.619800
83466,45.424200,-114.041900
83467,45.157100,-113.878400
83468,44.968100,-113.816700
83469,45.376900,-114.277000
83523,46.245300,-116.467700
83536,46.218600,-116.034700
83543,46.247500,-116.239300
83548,46.336100,-116.533300
83555,46.238300,-116.620400
83324,42.912500,-114.266400
83349,43.058800,-114.150800
83352,42.947400,-114.382200
83440,43.810000,-111.789000
83441,43.776100,-111.691000
83448,43.847700,-111.693200
83460,43.826000,-111.789700
83336,42.559900,-113.770900
83343,42.773000,-113.509800
83347,42.624000,-113.797100
83350,42.688800,-113.648100
83501,46.364600,-116.860900
83524,46.378000,-116.653600
83540,46.412400,-116.790200
83545,46.480700,-116.411400
83243,42.161900,-112.653900
83252,42.180800,-112.262000
83604,42.614000,-115.841900
83624,42.989600,-116.093400
83628,43.613800,-116.947200
83639,43.539900,-116.824000
83650,42.848100,-116.637100
83619,44.002700,-116.914300
83655,43.959000,-116.804800
83661,44.078200,-116.920300
83211,42.635200,-112.945800
83212,42.502600,-112.558500
83271,42.555600,-112.854000
83802,47.271400,-115.866000
83808,47.321900,-116.070300
83812,47.010700,-116.252900
83837,47.543100,-116.125300
83839,47.550900,-116.288700
83846,47.470900,-115.792600
83849,47.521100,-116.021000
83850,47.501800,-116.264700
83867,47.498100,-115.965700
83868,47.536200,-116.206200
83873,47.490800,-115.962000
83874,47.627100,-115.858500
83422,43.726300,-111.119900
83424,43.872400,-111.189500
83452,43.781400,-111.211800
83455,43.614800,-111.125900
83301,42.556500,-114.469300
83302,42.218000,-114.594200
83303,42.563000,-114.460900
83316,42.600800,-114.782500
83321,42.521000,-114.873400
83328,42.565300,-114.614000
83334,42.524900,-114.299400
83341,42.528700,-114.365700
83344,42.477600,-114.160600
83611,44.692700,-115.641700
83615,44.665900,-116.036900
83635,44.832700,-116.084800
83638,44.891800,-116.078900
83677,44.969800,-115.496300
83610,44.592200,-116.675700
83645,44.442000,-116.703800
83672,44.252200,-116.965100
62301,39.930700,-91.376300
62305,39.960100,-91.302600
62306,39.935600,-91.409900
62320,40.029300,-91.076900
62324,40.013300,-90.955400
62325,40.055400,-91.174700
